"","x"
"1516","0"
"1517","2"
"1518","2"
"1519","0"
"1520","5"
"1521","5"
"1522","0"
"1523","0"
"1524","1"
"1525","0"
"1526","0"
"1527","2"
"1528","2"
"1529","0"
"1530","2"
"1531","1"
"1532","4"
"1533","1"
"1534","3"
"1535","1"
"1536","3"
"1537","7"
"1538","1"
"1539","6"
"1540","1"
"1541","2"
"1542","2"
"1543","4"
"1544","0"
"1545","1"
"1546","2"
"1547","1"
"1548","2"
"1549","0"
"1550","9"
"1551","8"
"1552","2"
"1553","2"
"1554","0"
"1555","0"
"1556","3"
"1557","0"
"1558","0"
"1559","0"
"1560","2"
"1561","1"
"1562","3"
"1563","0"
"1564","1"
"1565","4"
"1566","1"
"1567","0"
"1568","1"
"1569","2"
"1570","4"
"1571","0"
"1572","13"
"1573","2"
"1574","2"
"1575","0"
"1576","3"
"1577","0"
"1578","2"
"1579","1"
"1580","3"
"1581","4"
"1582","3"
"1583","4"
"1584","0"
"1585","0"
"1586","1"
"1587","2"
"1588","3"
"1589","3"
"1590","8"
"1591","3"
"1592","0"
"1593","2"
"1594","1"
"1595","7"
"1596","0"
"1597","1"
"1598","1"
"1599","1"
"1600","5"
"1601","0"
"1602","1"
"1603","1"
"1604","5"
"1605","2"
"1606","3"
"1607","3"
"1608","10"
"1609","0"
"1610","1"
"1611","2"
"1612","0"
"1613","6"
"1614","12"
"1615","3"
"1616","0"
"1617","0"
"1618","0"
"1619","2"
"1620","1"
"1621","0"
"1622","1"
"1623","2"
"1624","3"
"1625","1"
"1626","3"
"1627","2"
"1628","3"
"1629","3"
"1630","3"
"1631","3"
"1632","0"
"1633","2"
"1634","0"
"1635","2"
"1636","3"
"1637","0"
"1638","3"
"1639","3"
"1640","2"
"1641","12"
"1642","3"
"1643","1"
"1644","0"
"1645","0"
"1646","4"
"1647","1"
"1648","6"
"1649","1"
"1650","2"
"1651","4"
"1652","3"
"1653","1"
"1654","1"
"1655","3"
"1656","4"
"1657","0"
"1658","3"
"1659","5"
"1660","4"
"1661","1"
"1662","9"
"1663","2"
"1664","1"
"1665","0"
"1666","4"
"1667","5"
"1668","1"
"1669","3"
"1670","0"
"1671","0"
"1672","0"
"1673","2"
"1674","3"
"1675","5"
"1676","1"
"1677","4"
"1678","7"
"1679","3"
"1680","0"
"1681","1"
"1682","0"
"1683","0"
"1684","3"
"1685","0"
"1686","6"
"1687","0"
"1688","6"
"1689","3"
"1690","0"
"1691","7"
"1692","3"
"1693","9"
"1694","3"
"1695","2"
"1696","3"
"1697","2"
"1698","3"
"1699","2"
"1700","7"
"1701","3"
"1702","0"
"1703","0"
"1704","7"
"1705","0"
"1706","1"
"1707","3"
"1708","0"
"1709","3"
"1710","13"
"1711","8"
"1712","1"
"1713","1"
"1714","5"
"1715","2"
"1716","10"
"1717","0"
"1718","1"
"1719","3"
"1720","3"
"1721","2"
"1722","2"
"1723","4"
"1724","2"
"1725","10"
"1726","3"
"1727","0"
"1728","0"
"1729","3"
"1730","6"
"1731","9"
"1732","0"
"1733","4"
"1734","0"
"1735","0"
"1736","2"
"1737","0"
"1738","2"
"1739","2"
"1740","7"
"1741","4"
"1742","3"
"1743","1"
"1744","0"
"1745","4"
"1746","0"
"1747","0"
"1748","0"
"1749","0"
"1750","7"
"1751","11"
"1752","10"
"1753","1"
"1754","2"
"1755","1"
"1756","0"
"1757","3"
"1758","2"
"1759","2"
"1760","0"
"1761","0"
"1762","3"
"1763","1"
"1764","1"
"1765","4"
"1766","1"
"1767","2"
"1768","2"
"1769","2"
"1770","0"
"1771","4"
"1772","11"
"1773","0"
"1774","0"
"1775","9"
"1776","1"
"1777","9"
"1778","1"
"1779","0"
"1780","3"
"1781","2"
"1782","1"
"1783","1"
"1784","1"
"1785","6"
"1786","1"
"1787","5"
"1788","4"
"1789","0"
"1790","7"
"1791","13"
"1792","4"
"1793","2"
"1794","2"
"1795","1"
"1796","6"
"1797","3"
"1798","0"
"1799","0"
"1800","0"
"1801","4"
"1802","9"
"1803","5"
"1804","3"
"1805","3"
"1806","3"
"1807","1"
"1808","0"
"1809","1"
"1810","5"
"1811","13"
"1812","3"
"1813","1"
"1814","0"
"1815","5"
"1816","0"
"1817","10"
"1818","0"
"1819","2"
"1820","4"
"1821","1"
"1822","1"
"1823","5"
"1824","3"
"1825","2"
"1826","1"
"1827","3"
"1828","7"
"1829","3"
"1830","7"
"1831","6"
"1832","3"
"1833","0"
"1834","2"
"1835","4"
"1836","1"
"1837","3"
"1838","5"
"1839","13"
"1840","3"
"1841","1"
"1842","2"
"1843","1"
"1844","1"
"1845","1"
"1846","1"
"1847","0"
"1848","9"
"1849","5"
"1850","1"
"1851","9"
"1852","0"
"1853","4"
"1854","2"
"1855","10"
"1856","1"
"1857","3"
"1858","3"
"1859","1"
"1860","1"
"1861","0"
"1862","3"
"1863","10"
"1864","3"
"1865","1"
"1866","0"
"1867","3"
"1868","0"
"1869","5"
"1870","10"
"1871","3"
"1872","1"
"1873","4"
"1874","0"
"1875","1"
"1876","0"
"1877","1"
"1878","8"
"1879","1"
"1880","0"
"1881","1"
"1882","0"
"1883","1"
"1884","3"
"1885","4"
"1886","2"
"1887","2"
"1888","2"
"1889","8"
"1890","2"
"1891","1"
"1892","1"
"1893","5"
"1894","3"
"1895","13"
"1896","1"
"1897","3"
"1898","4"
"1899","3"
"1900","0"
"1901","1"
"1902","3"
"1903","3"
"1904","9"
"1905","1"
"1906","0"
"1907","0"
"1908","1"
"1909","1"
"1910","4"
"1911","0"
"1912","0"
"1913","4"
"1914","0"
"1915","1"
"1916","3"
"1917","4"
"1918","0"
"1919","1"
"1920","3"
"1921","5"
"1922","3"
"1923","1"
"1924","2"
"1925","2"
"1926","3"
"1927","2"
"1928","1"
"1929","3"
"1930","3"
"1931","2"
"1932","0"
"1933","1"
"1934","3"
"1935","3"
"1936","2"
"1937","0"
"1938","0"
"1939","3"
"1940","3"
"1941","7"
"1942","3"
"1943","2"
"1944","1"
"1945","2"
"1946","12"
"1947","3"
"1948","0"
"1949","2"
"1950","5"
"1951","1"
"1952","1"
"1953","0"
"1954","0"
"1955","3"
"1956","1"
"1957","10"
"1958","0"
"1959","1"
"1960","1"
"1961","0"
"1962","0"
"1963","3"
"1964","3"
"1965","3"
"1966","0"
"1967","0"
"1968","0"
"1969","4"
"1970","11"
"1971","1"
"1972","10"
"1973","2"
"1974","9"
"1975","1"
"1976","2"
"1977","1"
"1978","2"
"1979","3"
"1980","3"
"1981","3"
"1982","7"
"1983","9"
"1984","2"
"1985","8"
"1986","0"
"1987","3"
"1988","0"
"1989","0"
"1990","2"
"1991","11"
"1992","3"
"1993","0"
"1994","0"
"1995","13"
"1996","3"
"1997","3"
"1998","3"
"1999","6"
"2000","2"
"2001","1"
"2002","2"
"2003","1"
"2004","0"
"2005","1"
"2006","5"
"2007","2"
"2008","5"
"2009","2"
"2010","0"
"2011","2"
"2012","4"
"2013","3"
"2014","0"
"2015","0"
"2016","3"
"2017","2"
"2018","3"
"2019","12"
"2020","4"
"2021","2"
"2022","2"
"2023","2"
"2024","8"
"2025","5"
"2026","0"
"2027","1"
"2028","2"
"2029","4"
"2030","6"
"2031","0"
"2032","0"
"2033","0"
"2034","4"
"2035","2"
"2036","5"
"2037","3"
"2038","5"
"2039","6"
"2040","0"
"2041","1"
"2042","5"
"2043","3"
"2044","0"
"2045","0"
"2046","2"
"2047","3"
"2048","4"
"2049","6"
"2050","2"
"2051","12"
"2052","0"
"2053","0"
"2054","6"
"2055","1"
"2056","0"
"2057","2"
"2058","5"
"2059","0"
"2060","0"
"2061","2"
"2062","0"
"2063","4"
"2064","2"
"2065","2"
"2066","2"
"2067","0"
"2068","1"
"2069","3"
"2070","0"
"2071","0"
"2072","1"
"2073","5"
"2074","2"
"2075","0"
"2076","1"
"2077","1"
"2078","4"
"2079","1"
"2080","3"
"2081","2"
"2082","12"
"2083","2"
"2084","12"
"2085","0"
"2086","1"
"2087","1"
"2088","0"
"2089","0"
"2090","1"
"2091","1"
"2092","5"
"2093","2"
"2094","2"
"2095","0"
"2096","2"
"2097","0"
"2098","0"
"2099","0"
"2100","0"
"2101","0"
"2102","0"
"2103","0"
"2104","10"
"2105","4"
"2106","0"
"2107","0"
"2108","2"
"2109","2"
"2110","5"
"2111","5"
"2112","4"
"2113","0"
"2114","4"
"2115","2"
"2116","4"
"2117","1"
"2118","0"
"2119","2"
"2120","2"
"2121","0"
"2122","3"
"2123","8"
"2124","10"
"2125","0"
"2126","5"
"2127","2"
"2128","1"
"2129","0"
"2130","3"
"2131","3"
"2132","1"
"2133","1"
"2134","3"
"2135","1"
"2136","4"
"2137","2"
"2138","2"
"2139","0"
